Week,Virginia tech,Aurora,Newtown,Navy Yard,Charleston,San Bernardino,Orlando,Las Vegas
7/12/14,1,1,3,1,0,1,0,0
14/12/14,1,0,2,1,0,0,0,0
21/12/14,1,0,2,3,0,0,0,0
28/12/14,1,1,2,2,0,1,0,0
4/1/15,1,1,2,2,0,1,0,0
11/1/15,0,1,2,1,1,1,0,0
18/1/15,1,1,2,1,1,1,0,0
25/1/15,3,4,21,2,2,2,1,1
1/2/15,5,6,40,4,3,7,2,2
8/2/15,6,5,22,3,3,6,2,1
15/2/15,5,5,30,3,3,4,2,1
22/2/15,4,4,25,3,2,4,2,1
1/3/15,2,4,28,2,2,4,1,0
8/3/15,3,4,21,2,2,3,1,0
15/3/15,3,3,17,3,1,3,1,0
22/3/15,3,2,13,3,1,3,1,0
29/3/15,3,2,11,2,1,3,2,0
5/4/15,2,2,9,3,1,2,2,0
12/4/15,2,1,6,2,1,1,2,0
19/4/15,1,1,6,1,1,2,1,0
26/4/15,2,1,6,2,1,2,1,0
3/5/15,2,1,7,2,1,2,1,0