Month,Gun control searches,Event
2007-01,7,
2007-02,9,
2007-03,10,
2007-04,22,Virginia Tech
2007-05,15,
2007-06,5,
2007-07,4,
2007-08,3,
2007-09,7,
2007-10,11,
2007-11,13,
2007-12,10,
2008-01,10,
2008-02,13,
2008-03,13,
2008-04,14,Supreme Court handgun ban case
2008-05,9,
2008-06,6,
2008-07,5,
2008-08,4,
2008-09,9,
2008-10,16,
2008-11,18,Barack Obama elected president
2008-12,10,
2009-01,9,
2009-02,12,
2009-03,11,
2009-04,14,Binghampton shooting
2009-05,10,
2009-06,5,
2009-07,5,
2009-08,4,
2009-09,7,
2009-10,9,
2009-11,10,
2009-12,7,
2010-01,7,
2010-02,6,
2010-03,9,
2010-04,9,
2010-05,7,
2010-06,4,
2010-07,4,
2010-08,2,
2010-09,4,
2010-10,6,
2010-11,6,
2010-12,4,
2011-01,10,
2011-02,8,
2011-03,7,
2011-04,7,
2011-05,6,
2011-06,3,
2011-07,3,
2011-08,2,
2011-09,4,
2011-10,6,
2011-11,6,
2011-12,5,
2012-01,5,
2012-02,6,
2012-03,5,
2012-04,6,
2012-05,5,
2012-06,3,
2012-07,16,Aurora cinema shooting
2012-08,7,
2012-09,7,
2012-10,10,
2012-11,13,
2012-12,65,
2013-01,100,"Newtown shooting, Obama announces gun control plan"
2013-02,50,
2013-03,38,
2013-04,62,Assault weapon ban defeated
2013-05,24,
2013-06,10,
2013-07,7,
2013-08,7,
2013-09,13,
2013-10,13,
2013-11,13,
2013-12,12,
2014-01,11,
2014-02,12,
2014-03,11,
2014-04,13,
2014-05,11,
2014-06,9,
2014-07,6,
2014-08,5,
2014-09,7,
2014-10,11,
2014-11,11,
2014-12,8,
2015-01,8,
2015-02,8,
2015-03,8,
2015-04,10,
2015-05,8,
2015-06,11,
2015-07,9,
2015-08,9,
2015-09,10,
2015-10,37,Oregon college shooting
2015-11,17,
2015-12,32,
2016-01,42,Impassioned Obama speech on guns
2016-02,15,
2016-03,14,
2016-04,11,
2016-05,9,
2016-06,40,Orelando nightclub shooting
2016-07,14,
2016-08,7,
2016-09,10,
2016-10,14,
2016-11,14,"Presidential election, gun control ballots"
2016-12,7,
2017-01,7,
2017-02,8,
2017-03,7,
2017-04,6,
2017-05,5,
2017-06,5,
2017-07,2,
2017-08,2,
2017-09,4,
2017-10,34,Las Vegas shooting