Week,Las Vegas shooting,Stephen Paddock,Gun control,Bump stocks
25/9/17,0,0,0,0
26/9/17,0,0,0,0
27/9/17,0,0,0,0
28/9/17,0,0,0,0
29/9/17,0,0,0,0
30/9/17,0,0,0,0
1/10/17,0,0,0,0
2/10/17,100,48,1,0
3/10/17,41,11,2,0
4/10/17,21,8,2,1
5/10/17,13,5,1,2
6/10/17,9,3,1,2
7/10/17,6,2,0,1
8/10/17,4,2,0,1
9/10/17,4,1,0,0
10/10/17,3,1,0,0
11/10/17,2,1,0,0
12/10/17,2,1,0,0
13/10/17,2,1,0,0
14/10/17,2,0,0,0
15/10/17,2,0,0,0
16/10/17,2,0,0,0
17/10/17,2,0,0,0
18/10/17,1,0,0,0
19/10/17,1,0,0,0
20/10/17,1,0,0,0
21/10/17,1,0,0,0
22/10/17,1,0,0,0